1,0,16
1,1,18
1,1,12
1,0,50
2,1,25
2,1,32
2,1,30
2,0,67
2,0,90
2,0,18
2,1,30
2,1,90
2,0,39
2,0,55
2,1,24
2,0,89
2,0,28
2,0,54
1,1,20
1,1,12
1,1,50
1,1,40
1,0,32
1,0,40
1,0,35
1,0,25
1,0,30
1,0,49
1,0,34
1,0,45
1,0,79
1,0,40
1,0,25
1,0,26
1,0,30
1,1,12
1,0,18
1,1,18
1,0,10
2,0,20
2,0,80
2,0,35
2,0,35
2,0,34
2,0,35
2,0,42
2,0,20
2,1,29
2,1,21
2,0,45
2,0,75
2,1,15
2,1,55
2,0,57
2,0,38
2,0,30
2,0,24
2,0,14
2,0,29
2,1,18
2,0,65
2,1,12
2,0,26
2,0,25
2,0,90
2,0,50
1,0,25
1,0,26
1,0,19
1,0,30
1,0,18
1,1,18
1,1,24
1,0,32
1,1,36
1,1,25
1,1,16
1,0,30
1,1,25
1,1,30
1,0,20
1,1,16
1,0,24
1,0,24
1,0,20
1,0,30
1,1,26
1,0,60
1,1,21
1,1,25
1,0,26
2,0,75
2,0,30
2,0,80
2,1,37
2,0,45
2,0,25
2,0,13
1,1,50
1,1,22
1,1,18
1,0,14
1,0,80
1,0,60
1,0,40
1,0,25
1,1,42
1,0,68
1,0,20
1,0,30
1,0,22
1,0,25
1,1,13
1,0,14
1,0,20
1,0,40
1,1,30
1,1,40
1,0,16
1,1,26
1,0,35
1,0,26
1,0,45
1,1,25
1,0,40
1,1,43
1,1,18
1,0,25
1,0,42
1,0,50
1,0,75
1,1,18
1,0,35
1,1,24
1,1,20
1,1,22
1,0,50
1,1,16
1,1,39
1,0,12
1,0,80
1,1,36
1,0,54
1,0,19
1,0,23
1,0,52
1,0,50
1,0,25
1,0,10
1,0,40
1,0,48
1,0,70
1,0,66
1,0,17
1,0,22
1,0,49
1,0,26
1,0,18
1,0,23
1,0,42
1,0,36
1,1,34
1,1,25
1,0,48
1,1,35
1,0,50
1,1,23
1,1,15
1,0,45
1,0,39
1,1,15
1,1,15
1,1,24
1,0,60
1,0,28
1,0,22
1,0,27
1,1,20
1,0,49
1,1,40
1,1,21
1,0,32
1,0,22
1,0,80
1,1,20
1,1,35
1,1,25
1,0,38
1,0,25
2,1,26
2,1,45
2,0,63
2,1,32
2,1,27
2,0,65
2,0,65
2,0,105
2,0,105
2,0,55
2,1,48
2,0,90
2,1,45
2,0,72
2,0,63
2,0,100
2,1,37
2,1,44
2,0,58
2,1,38
2,0,50
2,0,130
2,1,50
2,1,24
2,1,50
1,1,9
1,0,12
1,1,20
1,0,18
1,1,26
1,1,14
1,1,7
1,0,28
1,0,20
1,0,10
1,1,11
1,0,15
1,0,34
1,1,25
1,1,17
1,0,15
1,0,60
1,0,10
1,0,18
1,1,20
1,1,35
1,0,20
1,0,19
1,0,23
1,1,17
1,0,11
1,0,40
1,0,19
1,0,30
1,0,18
1,1,18
1,1,14
1,1,24
1,0,25
1,0,26
1,0,19
1,0,20
1,0,24
1,0,8
1,1,10
1,1,15
1,1,12
1,1,30
1,0,15
1,0,16
1,0,30
1,1,20
1,0,42
1,0,35
2,0,32
2,0,65
2,0,46
2,0,48
2,0,48
2,0,50
2,0,29
2,0,75
2,0,17
2,0,21
2,1,17
2,1,24
2,0,65
2,0,60
2,0,40
2,1,45
2,0,34
1,1,43
1,0,30
1,0,40
1,1,12
1,1,40
1,0,14
1,1,18
1,0,55
1,0,24
1,0,12
1,0,34
1,1,24
1,0,21
1,0,45
1,1,22
1,0,13
1,0,40
1,0,25
1,0,20
1,0,48
2,0,15
2,0,60
2,0,25
2,0,15
2,0,53
2,0,19
2,0,55
2,0,75
2,0,49
2,0,48
2,0,15
2,0,24
2,0,28
2,0,50
2,0,100
2,1,17
2,0,46
2,0,51
2,0,20
2,0,68
2,0,15
2,1,25
2,0,41
2,0,60
1,1,10
1,1,45
1,1,16
1,1,31
1,0,35
1,0,32
1,1,19
1,1,10
1,0,30
1,0,37
1,0,55
1,0,35
1,0,45
1,1,17
1,1,25
1,1,15
1,1,39
1,1,10
1,0,45
1,0,45
1,1,17
1,1,16
1,0,25
1,0,65
1,0,15
1,0,25
1,0,45
1,0,12
1,0,40
1,0,79
1,0,119
1,0,115
1,1,46
1,0,14
1,0,22
1,0,30
1,1,20
1,0,45
1,0,50
1,0,55
1,0,88
1,0,50
1,0,15
1,1,20
1,0,115
1,0,55
1,1,117
1,0,30
1,0,70
1,0,25
1,1,25
1,1,90
1,1,28
1,1,25
1,0,26
1,0,60
1,0,42
1,1,20
1,1,22
1,1,45
1,1,28
1,0,39
1,0,42
1,1,36
1,0,235
1,1,95
1,1,24
1,0,35
1,1,20
1,0,30
1,0,17
1,0,60
1,0,35
1,0,14
1,0,8
1,0,19
1,1,17
1,0,17
1,0,20
1,0,19
1,1,24
1,1,25
1,0,7
1,1,22
1,0,25
1,0,21
2,1,50
2,1,37
2,0,50
2,0,50
2,0,23
2,0,52
2,0,75
2,1,45
2,0,65
2,0,50
2,0,63
2,0,150
2,1,68
2,0,66
2,0,40
2,1,48
2,1,50
2,0,130
2,1,53
2,1,33
2,0,90
2,0,35
2,0,91
2,0,90
2,0,55
2,1,54
1,0,28
1,0,45
1,1,22
1,0,13
1,0,40
1,0,25
1,0,20
1,0,26
1,0,48
1,1,20
1,0,23
1,0,12
1,0,34
1,1,24
1,0,21
1,0,24
1,0,38
1,0,60
1,0,10
1,1,25
1,0,15
1,1,17
1,0,18
1,1,17
1,0,11
1,0,59
1,0,30
1,0,30
1,0,11
1,0,30
1,0,30
1,0,17
1,0,20
1,1,32
1,1,20
1,0,7
1,1,28
1,1,18
1,1,28
1,0,30
1,0,22
1,1,20
1,0,12
1,0,16
1,0,36
1,1,20
1,0,8
1,0,15
1,0,16
1,0,42
1,0,30
1,1,15
1,0,14
1,0,13
1,0,17
1,1,20
1,1,23
1,0,17
1,0,35
1,0,32
1,0,16
1,1,15
1,1,12
1,1,15
1,1,17
1,0,35
1,1,10
1,0,24
1,0,12
1,0,25
2,1,18
2,0,45
2,0,43
2,0,20
2,0,30
2,0,49
2,0,50
2,0,35
2,0,80
2,0,25
2,0,21
2,0,50
2,1,23
2,0,16
1,0,50
1,0,24
1,1,29
1,0,45
1,0,45
1,1,17
1,0,35
1,0,19
1,0,20
1,0,44
1,1,26
1,0,32
1,1,31
1,0,28
1,1,22
1,1,40
1,0,32
1,0,55
1,1,16
1,0,70
1,1,25
1,1,90
1,1,20
1,1,17
1,0,30
1,0,27
1,1,20
1,0,27
1,0,16
1,0,34
1,1,24
1,0,27
1,1,22
1,1,17
1,0,30
1,0,25
1,1,60
1,1,32
1,0,59
1,1,20
1,0,40
2,1,10
2,0,30
2,0,22
2,1,34
2,1,22
2,0,95
2,0,85
2,0,45
2,0,22
2,0,56
2,0,18
2,0,25
2,0,19
2,1,26
2,0,45
2,0,35
2,0,65
2,0,40
2,0,32
2,0,26
2,0,90
2,0,25
2,1,25
2,1,27
2,1,15
2,0,10
2,1,39
1,0,40
1,1,18
1,0,60
1,0,46
1,0,18
1,0,25
1,0,45
1,1,22
1,0,45
1,1,35
1,0,20
1,0,15
1,0,80
1,0,65
1,0,36
1,0,59
1,0,27
1,1,21
1,0,13
1,0,45
1,0,56
1,0,20
1,1,40
1,0,27
1,1,14
1,1,17
1,0,25
1,0,23
1,1,14
1,0,85
1,0,48
1,0,22
1,1,22
1,1,24
1,0,60
1,0,69
1,0,35
1,0,65
1,1,16
1,1,15
1,0,44
1,1,15
1,0,18
1,0,40
1,0,30
1,1,20
1,1,12
2,0,105
2,0,60
2,1,45
2,1,22
2,0,65
2,0,55
2,0,45
2,0,50
2,0,50
2,0,50
2,0,63
2,0,54
2,0,45
2,1,34
2,0,120
2,0,65
2,0,68
2,0,60
2,1,36
2,0,98
2,0,90
2,1,72
2,0,155
2,0,50
2,0,60
1,0,25
1,0,60
1,1,55
1,0,15
1,0,25
1,0,20
1,0,22
1,1,11
1,0,32
1,1,40
1,1,19
1,1,37
1,1,24
1,1,26
1,1,19
1,1,25
1,1,15
1,1,26
1,1,28
1,1,18
1,1,22
1,1,25
2,0,25
2,0,21
2,0,50
2,1,23
2,0,16
2,0,65
2,0,33
2,1,23
2,1,28
2,0,70
2,0,150
2,0,65
2,1,20
2,0,45
2,0,48
2,0,43
2,0,52
2,0,60
2,0,28
1,1,22
1,1,20
1,0,18
1,0,15
1,0,35
1,0,20
1,0,17
1,0,22
1,0,28
1,0,15
1,0,8
1,0,12
1,1,14
1,0,17
1,1,16
1,1,30
1,0,30
1,0,22
1,0,43
1,0,15
1,0,45
1,0,25
1,0,12
1,0,13
1,0,20
1,0,25
1,1,18
1,0,16
1,1,12
1,0,50
1,0,30
1,1,18
1,0,17
1,1,13
1,0,24
1,0,30
1,0,48
1,0,70
1,0,32
1,1,11
1,0,25
1,0,28
1,0,40
1,0,22
1,1,30
1,0,17
1,1,10
1,0,25
1,0,13
1,1,17
1,0,30
1,1,24
1,1,36
1,0,40
1,0,45
1,0,28
1,0,40
1,0,100
1,0,36
1,0,59
1,0,27
1,1,21
1,0,13
1,0,45
1,0,56
1,0,20
1,1,40
1,0,27
1,1,20
1,0,30
1,0,50
1,0,50
1,1,28
1,0,35
1,1,29
1,1,68
1,0,35
1,1,25
1,1,40
1,1,16
1,0,45
1,0,44
1,0,62
1,1,21
1,0,58
1,0,12
1,0,30
1,1,15
1,1,22
1,0,70
1,0,40
1,1,13
1,1,11
1,0,100
1,0,31
1,0,38
1,1,38
1,1,26
1,1,27
1,1,47
1,0,80
1,1,36
1,0,54
1,0,60
1,0,35
1,1,10
1,1,36
1,1,16
1,1,22
1,0,30
1,0,55
1,0,25
1,1,14
1,1,17
1,0,38
1,1,16
1,0,14
2,1,35
2,1,32
2,0,25
2,1,30
2,0,24
2,1,13
2,0,42
2,0,16
2,0,20
2,0,35
2,0,30
2,0,20
2,0,35
2,0,50
2,0,90
2,1,16
2,0,55
2,0,65
2,0,93
2,0,35
2,0,35
2,1,35
2,1,25
2,0,50
2,1,17
2,0,49
2,0,64
1,1,25
1,1,24
1,0,60
1,1,13
1,0,55
1,0,60
1,0,9
1,0,18
1,0,11
1,1,20
1,1,26
1,0,25
1,0,22
1,1,24
1,1,13
1,1,22
1,0,48
1,0,20
1,0,36
1,0,30
1,1,18
2,1,44
2,0,34
2,0,28
2,1,40
2,0,55
2,0,99
2,0,20
2,0,22
2,0,65
2,0,35
2,0,110
2,0,60
2,1,35
2,0,36
2,1,24
2,1,72
2,0,90
2,1,45
2,0,62
2,0,40
2,0,75
2,0,60
2,0,63
2,0,63
1,1,20
1,0,45
1,1,24
1,0,48
1,0,30
1,0,36
1,0,56
1,0,18
1,0,14
1,0,18
1,0,14
1,0,40
1,0,30
1,0,44
1,0,20
1,0,44
1,0,19
1,0,25
1,1,36
1,0,27
1,0,65
1,0,60
1,1,40
1,0,32
1,1,20
1,0,30
1,0,50
1,0,50
1,1,28
1,0,35
1,0,14
1,0,13
1,0,42
1,0,20
1,0,20
1,0,40
1,0,10
1,1,50
1,1,20
1,0,55
1,1,14
1,0,69
1,1,30
1,0,20
1,0,25
1,0,13
2,0,38
2,0,16
2,0,24
2,0,42
2,0,19
2,0,22
2,0,32
2,0,65
2,1,18
2,1,33
2,0,30
2,0,46
2,0,42
2,1,42
2,0,25
2,1,23
2,0,125
2,0,125
2,0,35
2,0,35
1,0,13
1,0,20
1,0,25
1,0,12
1,1,16
1,0,15
1,1,17
1,0,9
1,0,17
1,1,17
1,0,15
1,0,18
1,0,20
1,0,35
1,0,75
1,1,18
1,1,14
1,1,18
1,0,18
1,0,25
1,0,13
1,1,17
1,0,17
1,0,20
1,1,11
1,0,9
1,0,15
1,0,9
1,0,14
1,0,20
1,0,40
1,1,17
1,0,16
1,0,12
1,0,19
1,0,55
1,0,16
1,0,40
1,0,15
1,0,10
1,0,65
1,1,25
1,0,25
1,0,35
1,0,42
1,0,29
1,1,65
1,1,13
1,1,32
1,0,20
1,0,28
1,1,14
1,0,20
1,1,21
1,1,55
1,1,18
1,0,52
1,0,65
1,1,16
1,0,39
1,0,20
1,0,15
1,0,30
1,1,76
1,0,80
1,0,60
1,0,40
1,0,26
1,0,44
1,0,27
1,0,25
1,1,88
1,1,27
1,1,20
1,0,18
1,1,30
1,1,40
1,1,21
1,0,35
1,0,35
1,0,70
1,1,17
1,0,50
1,1,22
1,1,18
1,0,16
2,0,34
2,0,28
2,0,60
2,1,40
2,0,55
2,0,99
2,0,54
2,0,100
2,0,30
2,1,91
2,0,25
2,0,35
2,0,60
2,1,60
2,0,50
2,1,37
2,1,32
2,0,40
2,0,55
2,1,50
2,1,14
2,0,56
2,0,129
2,1,25
2,1,30
2,0,135
2,0,48
2,0,17
2,0,80
2,0,75
2,0,40
2,0,105
2,0,30
2,0,25
2,0,64
2,0,25
2,1,55
2,0,32
2,0,85
2,1,21
2,0,13
2,0,35
2,0,15
2,0,42
2,1,74
2,1,25
2,0,25
2,0,24
2,1,14
1,1,18
1,0,10
1,1,22
1,0,40
1,1,12
1,0,26
1,0,15
1,0,27
1,0,17
1,1,24
1,1,25
1,0,40
1,0,15
1,0,10
1,0,65
1,0,16
1,0,25
1,0,48
1,0,14
1,0,11
1,1,17
1,1,25
1,0,23
1,1,8
1,1,24
1,0,45
1,0,54
1,0,9
1,0,35
1,1,21
1,0,15
1,0,20
1,1,25
1,0,45
1,1,28
1,0,8
1,1,15
1,1,16
1,1,18
1,1,15
1,0,26
1,0,17
1,1,19
1,0,13
1,0,23
2,0,50
2,0,25
2,1,20
2,1,21
2,0,72
2,0,40
2,0,25
2,0,30
2,1,26
2,0,44
2,0,80
2,0,35
2,0,75
2,0,90
2,0,25
2,0,35
2,1,24
2,0,17
1,0,18
1,1,25
1,0,16
1,0,20
1,0,35
1,1,20
1,0,20
1,1,17
1,1,30
1,1,30
1,0,22
1,0,28
1,1,30
1,1,14
1,0,16
1,1,50
1,0,30
1,1,18
1,1,18
1,1,16
1,0,32
1,1,28
1,0,25
1,0,20
1,1,19
1,0,13
1,0,43
1,0,13
1,0,21
1,0,15
1,1,12
1,0,16
1,0,48
1,1,32
1,0,24
1,0,50
1,0,33
1,1,20
1,0,60
1,1,13
1,1,15
1,1,55
1,0,55
1,1,20
1,0,28
1,0,45
1,1,18
1,0,24
1,1,25
1,0,14
1,0,17
1,1,13
1,0,10
1,1,18
1,1,10
1,0,20
1,0,22
1,0,19
1,0,24
0,0,15
0,0,18
0,0,30
0,0,16
0,1,10
0,0,9
0,1,10
0,0,14
0,0,24
0,1,8
0,0,40
0,0,18
0,0,25
0,1,30
0,0,13
1,0,70
1,0,65
1,0,40
1,0,38
1,0,59
1,1,18
1,0,70
1,0,60
1,0,59
1,1,25
1,0,85
1,1,30
1,0,15
1,0,18
1,0,19
1,0,42
1,0,50
1,0,10
1,0,46
1,0,13
1,1,26
1,0,35
1,0,70
1,0,66
2,0,46
2,1,50
2,0,55
2,0,75
2,0,35
2,0,46
2,0,35
2,0,85
2,0,44
2,0,50
2,0,125
2,0,21
2,0,30
2,0,34
2,1,150
2,0,50
2,0,46
2,1,27
2,1,53
2,1,38
2,1,35
2,0,60
2,1,40
2,0,70
2,0,38
1,1,18
1,1,15
1,0,26
1,0,17
1,1,19
1,0,13
1,0,23
1,0,10
1,0,42
1,0,35
1,1,26
1,0,20
1,0,20
1,1,17
1,0,9
1,0,29
1,0,59
1,1,20
1,0,60
1,0,54
1,1,25
1,1,16
1,1,60
1,0,25
1,0,75
1,0,17
1,0,45
1,0,25
1,1,18
1,1,30
1,0,40
1,0,40
1,1,25
1,0,27
1,1,18
1,1,40
1,0,44
2,0,30
2,0,18
2,0,16
2,0,35
2,0,47
2,0,15
2,0,45
2,0,30
2,0,59
2,0,35
2,0,24
2,0,34
2,1,26
2,0,90
2,0,24
2,1,50
2,0,35
2,0,58
2,1,24
2,1,22
2,1,30
2,1,20
2,1,22
2,0,58
2,0,35
2,0,35
2,0,65
1,0,18
1,1,25
1,0,16
1,0,20
1,0,32
1,0,19
1,1,25
1,0,53
1,0,22
1,1,26
1,1,19
1,0,30
1,1,15
1,0,49
1,0,18
1,1,30
1,0,14
1,0,27
1,0,29
2,0,17
2,1,26
2,0,30
2,0,38
2,0,35
2,0,42
2,1,24
2,1,15
2,1,19
2,1,21
2,0,19
2,0,14
2,0,56
2,0,20
2,0,49
2,0,10
2,0,55
2,1,43
2,1,15
1,1,18
1,0,23
1,0,15
1,0,28
1,1,38
1,0,17
1,0,20
1,0,18
1,0,30
1,0,17
1,0,18
1,0,12
1,1,13
1,1,14
1,1,10
1,0,22
1,0,13
1,0,12
1,1,48
1,0,20
1,0,40
1,1,28
1,0,16
1,0,15
1,0,24
1,1,25
1,1,23
1,1,45
1,1,18
1,1,14
1,1,23
1,0,50
1,0,16
1,1,25
1,1,20
1,0,49
1,0,38
1,0,23
1,0,45
1,1,20
1,0,65
1,1,13
1,0,20
1,0,20
1,0,90
1,0,45
1,0,45
1,1,19
1,1,30
1,1,14
0,0,15
0,0,16
0,0,18
0,0,28
0,0,32
0,1,25
0,1,11
0,0,21
0,1,20
0,1,26
0,1,17
0,0,13
0,0,13
0,1,12
0,0,10
0,1,15
0,0,9
0,1,15
0,1,8
0,1,30
0,0,16
0,0,25
0,1,10
0,0,13
0,1,13
0,1,14
2,0,14
2,0,56
2,0,20
2,0,49
2,0,10
2,0,55
2,1,43
2,1,15
2,0,23
2,1,20
2,0,18
2,1,17
2,1,23
2,0,40
2,0,20
2,1,26
2,0,16
2,0,19
2,1,20
2,0,65
2,0,30
1,1,15
1,0,49
1,0,18
1,1,30
1,0,14
1,0,27
1,1,18
1,1,25
1,1,12
1,0,28
1,0,15
1,1,40
1,1,50
1,0,21
1,0,29
1,0,25
1,0,25
1,0,18
1,0,25
1,0,37
1,0,39
1,1,25
1,0,25
2,1,46
2,1,36
2,1,48
2,1,35
2,0,45
2,0,40
2,0,82
2,0,75
2,0,65
2,0,42
2,0,35
2,1,50
2,1,38
2,0,35
2,0,55
2,0,63
2,0,42
2,1,45
2,0,140
2,0,100
2,0,40
2,0,70
1,0,30
1,1,15
1,1,17
1,1,18
1,0,63
1,1,18
1,0,17
1,0,36
1,1,18
1,0,24
1,0,60
1,1,18
1,0,15
1,0,36
1,1,10
1,0,33
1,1,15
1,1,16
1,0,24
1,1,17
1,0,45
1,0,20
1,0,20
1,0,90
1,0,45
1,0,45
1,1,19
1,1,30
1,1,14
1,1,27
1,0,58
1,0,24
1,0,50
1,1,34
1,1,46
1,0,20
1,0,49
1,0,30
1,0,25
1,1,25
1,1,21
1,1,24
1,0,48
1,0,22
1,1,30
1,0,40
1,0,20
1,1,18
1,0,23
1,0,18
1,0,21
1,0,35
1,0,25
1,0,33
1,0,24
1,1,23
1,0,30
1,0,24
1,0,27
1,1,38
1,1,23
1,0,19
1,1,29
1,0,15
1,1,30
1,0,23
1,1,20
1,0,16
1,1,13
1,1,25
1,0,16
1,0,20
1,0,49
1,0,70
1,0,11
1,0,46
1,0,13
1,1,15
1,1,10
1,1,18
1,1,15
1,1,20
1,0,77
1,0,8
1,0,30
1,1,10
1,0,15
1,0,42
1,0,30
1,0,60
1,0,28
1,1,30
1,0,34
1,0,14
1,0,19
1,1,14
1,0,60
2,0,29
2,1,35
2,0,60
2,0,52
2,0,25
2,0,10
2,1,25
2,1,75
2,1,28
2,1,19
2,0,50
2,0,35
2,0,50
2,0,40
2,0,18
1,0,15
1,1,25
1,0,250
1,0,32
1,0,28
1,1,22
1,0,80
1,0,35
1,0,103
1,0,22
1,1,14
1,0,85
1,0,180
1,0,18
1,1,13
1,1,10
1,1,33
1,0,15
1,0,15
1,0,14
1,1,6
1,0,13
1,0,22
1,0,30
1,0,45
1,0,14
1,0,33
1,0,14
1,0,25
1,0,26
1,0,37
1,0,25
1,0,35
1,0,20
1,0,32
0,0,32
0,1,13
0,1,28
0,0,20
0,0,11
0,0,25
0,1,16
0,0,12
0,0,40
0,1,18
0,0,25
0,1,10
0,1,10
0,0,9
0,0,28
0,0,30
0,0,65
0,0,19
0,0,22
0,0,16
0,0,25
2,0,30
2,1,26
2,0,35
2,1,15
2,1,19
2,1,21
2,0,95
2,1,20
2,1,16
2,0,40
2,0,25
2,1,25
2,1,14
2,0,38
2,1,35
2,0,55
2,1,20
2,1,28
2,0,50
2,1,20
1,0,33
1,1,15
1,1,16
1,1,17
1,0,45
1,0,22
1,0,60
1,1,18
1,0,90
1,0,54
1,1,15
1,1,13
1,0,25
1,0,34
1,1,16
1,1,21
1,1,12
1,0,60
1,0,15
1,1,23
1,0,38
2,0,35
2,1,50
2,1,38
2,0,35
2,1,35
2,0,140
2,0,25
2,0,60
2,1,30
2,0,40
2,1,34
2,1,53
2,1,26
2,1,30
2,0,45
2,0,83
2,0,63
2,0,225
2,1,60
2,1,28
2,0,85
2,0,38
2,1,45
1,1,33
1,1,23
1,0,40
1,0,32
1,0,30
1,0,39
1,1,42
1,0,35
1,0,19
1,0,18
1,0,25
1,0,30
1,1,24
1,0,45
1,0,40
1,0,26
1,0,30
1,0,60
1,1,25
1,1,17
1,1,35
1,0,26
1,1,35
1,0,28
1,0,27
1,0,40
1,1,20
1,1,20
1,1,13
1,1,25
1,0,16
1,0,20
1,0,24
1,1,38
1,0,38
1,1,16
1,1,58
1,0,45
1,0,34
1,1,28
1,1,15
1,1,16
1,1,18
1,0,29
1,0,20
1,1,21
1,0,23
1,0,34
1,1,28
1,0,20
1,0,23
1,1,17
1,0,22
1,1,45
1,1,12
1,1,46
1,0,30
1,1,11
1,1,28
1,0,18
1,1,27
1,1,55
1,1,30
1,0,50
1,1,15
1,0,44
1,1,25
1,0,95
1,0,80
1,1,30
1,0,18
1,1,9
1,0,38
1,0,45
1,0,10
1,1,24
1,1,9
1,0,52
1,1,15
1,1,18
1,0,39
1,0,17
1,1,25
1,1,19
1,1,15
1,0,55
1,0,16
1,1,20
1,1,25
1,0,25
1,1,20
1,1,15
1,1,16
1,1,20
1,0,30
1,0,20
1,0,20
1,1,35
1,0,25
1,0,14
1,0,29
1,0,22
1,0,15
1,0,38
1,0,15
1,0,25
1,1,14
1,0,110
1,0,26
1,0,40
1,1,18
1,1,20
1,0,15
1,0,22
1,1,16
1,1,13
1,0,10
1,1,30
1,0,40
1,1,15
1,0,18
1,0,13
1,1,11
1,0,18
1,0,18
1,1,11
1,0,13
1,0,48
1,1,16
1,1,13
1,0,16
1,0,40
1,0,48
1,1,13
0,0,75
0,0,11
0,1,21
0,0,22
0,0,24
0,1,10
0,1,18
0,0,25
0,0,30
0,1,13
0,1,16
0,0,20
0,0,13
0,0,24
0,1,16
0,0,25
0,1,18
0,1,14
0,0,11
0,1,55
0,0,15
0,0,22
0,0,19
2,0,35
2,0,75
2,0,56
2,0,60
2,0,20
2,0,45
2,0,42
2,0,38
2,0,40
2,0,28
2,0,19
2,0,20
2,1,24
1,0,48
1,0,16
1,1,18
1,1,25
1,0,15
1,0,15
1,1,21
1,1,18
1,0,48
1,1,20
1,1,20
1,0,17
1,0,23
1,0,29
1,0,49
1,1,18
2,0,28
2,0,38
2,0,64
2,0,50
2,0,30
2,0,49
2,0,17
2,0,18
2,1,63
2,0,17
2,0,45
2,1,53
2,1,30
2,0,34
2,0,27
2,0,95
2,1,55
2,0,40
2,0,49
2,0,70
2,0,34
2,0,45
2,0,35
1,0,40
1,1,22
1,1,10
1,0,18
1,0,36
1,0,37
1,0,24
1,0,20
1,1,18
1,0,65
1,1,30
1,1,95
1,1,30
1,1,22
1,0,40
1,0,30
1,0,19
1,0,19
1,0,29
1,0,25
1,0,35
1,1,19
1,0,40
1,0,28
1,1,23
1,1,25
1,0,12
1,1,18
1,0,20
1,0,33
1,0,20
1,0,60
1,1,25
1,0,95
1,0,50
1,1,13
1,0,40
1,0,54
1,0,70
1,0,13
1,0,94
1,0,50
1,0,14
1,0,29
1,1,17
1,0,19
1,1,58
1,1,20
1,0,40
1,1,15
1,0,40
1,0,22
1,0,25
1,0,17
1,0,50
1,0,90
1,1,18
1,1,34
1,1,21
1,1,18
1,1,10
1,1,20
1,0,18
1,0,18
1,1,13
1,0,12
1,0,36
1,1,14
1,0,7
1,0,37
1,1,19
1,1,14
1,0,19
1,1,9
1,0,35
1,1,21
1,1,25
1,0,48
1,0,15
1,1,16
1,1,13
1,0,24
1,1,22
1,1,15
1,0,9
1,0,9
1,0,26
1,1,32
1,0,22
1,0,16
1,1,18
1,1,25
1,0,48
1,1,20
1,1,13
1,0,45
1,1,23
1,1,27
1,0,19
1,1,18
1,0,55
1,0,16
1,1,16
1,0,20
1,1,20
1,1,9
1,1,22
1,0,40
1,0,30
1,0,19
1,0,19
1,1,25
1,0,32
1,0,30
1,1,24
1,0,16
1,0,24
1,0,20
1,1,18
1,1,26
1,0,38
1,0,32
1,1,25
1,0,18
1,0,40
1,0,18
1,0,29
1,0,15
1,0,25
1,0,15
1,0,20
1,0,40
1,0,38
1,0,35
1,0,30
1,1,23
1,1,16
1,1,48
1,0,10
1,0,59
1,0,20
1,1,30
1,0,38
1,1,29
1,0,18
2,1,55
2,0,40
2,0,34
2,0,27
2,0,45
2,0,35
2,0,118
2,0,42
2,1,36
2,0,48
2,0,65
2,0,23
2,0,40
2,1,50
2,0,54
2,0,50
2,0,35
2,1,35
2,1,29
2,1,30
2,1,28
2,0,33
2,0,63
2,0,50
2,1,43
1,1,12
1,0,40
1,1,18
1,0,12
1,0,14
1,0,16
1,0,12
1,0,23
1,1,12
1,0,13
1,1,12
1,1,11
1,1,12
1,1,15
1,0,40
1,0,35
1,1,14
1,1,9
2,0,15
2,0,22
2,0,50
2,0,18
2,0,45
2,0,20
2,0,34
2,0,55
2,1,49
2,0,30
2,0,25
2,1,18
2,0,39
2,1,18
2,0,60
2,0,80
2,0,65
2,0,50
2,0,55
2,0,25
2,1,34
2,0,25
0,1,15
0,1,10
0,0,14
0,0,19
3,0,59
3,0,150
3,0,85
3,1,65
3,0,95
3,0,85
3,1,65
3,0,80
3,1,55
3,1,78
3,0,79
3,0,60
3,0,78
3,0,105
3,0,60
3,0,86
3,0,39
2,1,98
2,0,96
2,0,38
2,0,60
1,0,25
1,1,13
1,0,55
1,1,15
1,1,25
1,0,28
1,1,18
1,0,30
1,0,24
1,1,38
1,1,40
1,1,16
1,1,28
1,1,17
1,0,25
1,1,18
1,0,13
1,0,14
1,0,38
1,1,35
1,0,17
1,1,29
1,0,27
1,0,45
1,1,13
1,0,28
1,0,34
2,0,29
2,1,160
2,0,34
2,0,35
2,1,35
2,1,29
2,1,30
2,0,50
2,1,28
2,0,33
2,0,63
2,0,55
2,0,66
2,0,45
2,0,32
2,1,40
2,1,43
2,0,45
2,0,48
2,0,40
2,0,80
2,1,40
2,0,65
2,0,45
2,0,49
2,0,35
1,0,16
1,0,12
1,1,12
1,0,14
1,1,16
1,1,20
1,0,20
1,0,13
1,0,25
1,1,20
1,1,33
1,1,34
1,0,20
1,1,26
1,0,33
1,1,17
1,0,60
1,1,28
1,1,22
1,0,19
1,0,60
1,1,19
1,0,22
1,0,21
1,0,18
1,0,15
1,0,17
1,0,14
1,0,22
1,1,19
1,1,11
1,0,13
1,1,30
1,0,24
1,0,30
1,1,18
1,1,19
1,1,11
1,0,12
1,0,16
1,0,8
1,1,35
1,1,12
1,0,48
1,0,26
1,0,17
1,0,62
1,0,42
1,0,45
1,0,30
1,1,19
1,1,25
1,1,23
1,1,18
1,0,23
1,0,19
1,0,77
1,1,25
1,1,25
1,0,31
1,1,15
1,1,15
1,0,28
1,1,19
1,0,49
1,1,18
1,1,20
1,1,22
1,1,42
1,0,45
1,1,16
1,1,20
1,0,46
1,1,20
1,0,40
1,1,15
1,0,60
1,1,21
1,1,18
1,1,20
1,1,12
1,1,13
1,0,32
